@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
66,'2019/02/24 18:18:57:604',1,181.600006,137.800003,0,1,-4,0,0,0,1
67,'2019/02/24 18:18:57:654',1,180.300003,134.199997,0.5,0,7,0,0,0,1
68,'2019/02/24 18:18:57:705',1,180.399994,137.800003,0.5,0.4,11,0,0,0,1
69,'2019/02/24 18:18:57:756',1,185.699997,139.699997,1,0.5,-11,0,0,0,1
70,'2019/02/24 18:18:57:808',1,184.199997,135.600006,0,0.1,-8,0,0,0,1
71,'2019/02/24 18:18:57:858',1,182.100006,136.199997,0.9,0,-4,0,0,0,1
72,'2019/02/24 18:18:57:910',1,179.5,135.800003,0,0.5,-3,0,0,0,1
73,'2019/02/24 18:18:57:961',1,178.600006,136.399994,0,0.5,10,0,0,0,1
74,'2019/02/24 18:18:58:013',1,177.899994,134.600006,0.5,1,11,0,0,0,1
75,'2019/02/24 18:18:58:065',1,182.699997,136.399994,0,0,-7,0,0,0,1
76,'2019/02/24 18:18:58:115',1,181,136.800003,0,0.1,-10,0,0,0,1
77,'2019/02/24 18:18:58:166',1,182.600006,139.399994,0,0.5,4,0,0,0,1
78,'2019/02/24 18:18:58:217',1,178.800003,138.199997,0,0.2,2,0,0,0,1
79,'2019/02/24 18:18:58:268',1,179.899994,140.100006,0.5,0,-1,0,0,0,1
80,'2019/02/24 18:18:58:320',1,181.399994,138.899994,1,1,16,0,0,0,1
81,'2019/02/24 18:18:58:371',1,183.600006,137.300003,0,1,16,0,0,0,1
82,'2019/02/24 18:18:58:423',1,186.699997,135.399994,0,0.1,-8,0,0,0,1
83,'2019/02/24 18:18:58:474',1,185.300003,134.800003,0,0.5,-9,0,0,0,1
84,'2019/02/24 18:18:58:526',1,183.5,136.199997,0,0,3,0,0,0,1
85,'2019/02/24 18:18:58:577',1,182.699997,135.600006,0.5,0,3,0,0,0,1
86,'2019/02/24 18:18:58:628',1,181,136.600006,0,0,-6,0,0,0,1
87,'2019/02/24 18:18:58:679',1,177.5,135.699997,0,0.5,7,0,0,0,1
88,'2019/02/24 18:18:58:730',1,178.100006,137.600006,0.5,0,7,0,0,0,1
89,'2019/02/24 18:18:58:780',1,180.800003,135.800003,0,0.5,-10,0,0,0,1
90,'2019/02/24 18:18:58:830',1,183.100006,136,0,0,3,0,0,0,1
91,'2019/02/24 18:18:58:882',1,180.399994,136.800003,0.2,0.4,4,0,0,0,1
92,'2019/02/24 18:18:58:934',1,185,138.800003,0.5,0.6,-4,0,0,0,1
93,'2019/02/24 18:18:58:985',1,182.5,138.399994,0.5,0.6,-5,0,0,0,1
94,'2019/02/24 18:18:59:036',1,179.800003,136.399994,0,0,10,0,0,0,1
95,'2019/02/24 18:18:59:088',1,181.699997,136.600006,0.5,0,-7,0,0,0,1
96,'2019/02/24 18:18:59:139',1,179.800003,134.600006,0,0.1,-7,0,0,0,1
97,'2019/02/24 18:18:59:191',1,182.5,134.399994,0.5,0,5,0,0,0,1
98,'2019/02/24 18:18:59:242',1,182.600006,135.199997,0.5,0.3,4,0,0,0,1
99,'2019/02/24 18:18:59:293',1,180.199997,136.399994,0,0.5,-2,0,0,0,1
100,'2019/02/24 18:18:59:345',1,179,135.899994,0.5,0,0,0,0,0,1
101,'2019/02/24 18:18:59:397',1,177.399994,138.399994,0,0.5,12,0,0,0,1
102,'2019/02/24 18:18:59:448',1,183.399994,139,0.5,0.3,-8,0,0,0,1
103,'2019/02/24 18:18:59:499',1,179.800003,135.800003,0,0,-10,0,0,0,1
