@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
65,'2018/10/17 13:28:54:065',1,78,0,1,?,?,?,?,?,?,?,?,?,?
66,'2018/10/17 13:28:54:075',1,78,0,1,?,?,?,?,?,?,?,?,?,?
67,'2018/10/17 13:28:54:124',1,68,1,0,?,?,?,?,?,?,?,?,?,?
68,'2018/10/17 13:28:54:124',1,68,1,0,?,?,?,?,?,?,?,?,?,?
69,'2018/10/17 13:28:54:362',1,80,0,3,?,?,?,?,?,?,?,?,?,?
70,'2018/10/17 13:28:54:363',1,80,0,3,?,?,?,?,?,?,?,?,?,?
71,'2018/10/17 13:28:54:430',1,78,0,3,?,?,?,?,?,?,?,?,?,?
72,'2018/10/17 13:28:54:431',1,78,0,3,?,?,?,?,?,?,?,?,?,?
73,'2018/10/17 13:28:54:462',1,72,0,2,?,?,?,?,?,?,?,?,?,?
74,'2018/10/17 13:28:54:462',1,72,0,2,?,?,?,?,?,?,?,?,?,?
75,'2018/10/17 13:28:54:559',1,69,0,5,?,?,?,?,?,?,?,?,?,?
76,'2018/10/17 13:28:54:560',1,69,0,5,?,?,?,?,?,?,?,?,?,?
77,'2018/10/17 13:28:54:571',1,69,0,5,?,?,?,?,?,?,?,?,?,?
78,'2018/10/17 13:28:54:580',1,69,0,5,?,?,?,?,?,?,?,?,?,?
79,'2018/10/17 13:28:54:636',1,74,0,1,?,?,?,?,?,?,?,?,?,?
80,'2018/10/17 13:28:54:791',1,82,1,3,?,?,?,?,?,?,?,?,?,?
81,'2018/10/17 13:28:54:792',1,82,1,3,?,?,?,?,?,?,?,?,?,?
82,'2018/10/17 13:28:54:803',1,82,1,3,?,?,?,?,?,?,?,?,?,?
83,'2018/10/17 13:28:54:812',1,82,1,3,?,?,?,?,?,?,?,?,?,?
84,'2018/10/17 13:28:54:864',1,96,3,3,?,?,?,?,?,?,?,?,?,?
85,'2018/10/17 13:28:54:865',1,96,3,3,?,?,?,?,?,?,?,?,?,?
86,'2018/10/17 13:28:54:876',1,96,3,3,?,?,?,?,?,?,?,?,?,?
87,'2018/10/17 13:28:54:889',1,87,0,2,?,?,?,?,?,?,?,?,?,?
88,'2018/10/17 13:28:54:895',1,87,0,2,?,?,?,?,?,?,?,?,?,?
89,'2018/10/17 13:28:54:934',1,83,0,5,?,?,?,?,?,?,?,?,?,?
90,'2018/10/17 13:28:54:935',1,83,0,5,?,?,?,?,?,?,?,?,?,?
91,'2018/10/17 13:28:55:153',1,79,1,3,?,?,?,?,?,?,?,?,?,?
92,'2018/10/17 13:28:55:154',1,79,1,3,?,?,?,?,?,?,?,?,?,?
93,'2018/10/17 13:28:55:164',1,79,1,3,?,?,?,?,?,?,?,?,?,?
94,'2018/10/17 13:28:55:197',1,80,2,4,?,?,?,?,?,?,?,?,?,?
95,'2018/10/17 13:28:55:197',1,80,2,4,?,?,?,?,?,?,?,?,?,?
96,'2018/10/17 13:28:55:208',1,80,2,4,?,?,?,?,?,?,?,?,?,?
97,'2018/10/17 13:28:55:274',1,81,2,2,?,?,?,?,?,?,?,?,?,?
98,'2018/10/17 13:28:55:275',1,81,2,2,?,?,?,?,?,?,?,?,?,?
99,'2018/10/17 13:28:55:285',1,81,2,2,?,?,?,?,?,?,?,?,?,?
100,'2018/10/17 13:28:55:325',1,72,0,2,?,?,?,?,?,?,?,?,?,?
101,'2018/10/17 13:28:55:326',1,72,0,2,?,?,?,?,?,?,?,?,?,?
102,'2018/10/17 13:28:55:349',1,69,0,4,?,?,?,?,?,?,?,?,?,?
103,'2018/10/17 13:28:55:349',1,69,0,4,?,?,?,?,?,?,?,?,?,?
104,'2018/10/17 13:28:55:390',1,90,0,4,?,?,?,?,?,?,?,?,?,?
105,'2018/10/17 13:28:55:390',1,90,0,4,?,?,?,?,?,?,?,?,?,?
106,'2018/10/17 13:28:55:425',1,102,0,2,?,?,?,?,?,?,?,?,?,?
107,'2018/10/17 13:28:55:426',1,102,0,2,?,?,?,?,?,?,?,?,?,?
108,'2018/10/17 13:28:55:844',1,76,0,1,?,?,?,?,?,?,?,?,?,?
109,'2018/10/17 13:28:55:844',1,76,0,1,?,?,?,?,?,?,?,?,?,?
110,'2018/10/17 13:28:55:917',1,77,0,2,?,?,?,?,?,?,?,?,?,?
111,'2018/10/17 13:28:55:918',1,77,0,2,?,?,?,?,?,?,?,?,?,?
112,'2018/10/17 13:28:56:179',1,70,0,2,?,?,?,?,?,?,?,?,?,?
113,'2018/10/17 13:28:56:179',1,70,0,2,?,?,?,?,?,?,?,?,?,?
114,'2018/10/17 13:28:56:310',1,69,0,1,?,?,?,?,?,?,?,?,?,?
115,'2018/10/17 13:28:56:311',1,69,0,1,?,?,?,?,?,?,?,?,?,?
116,'2018/10/17 13:28:56:321',1,69,0,1,?,?,?,?,?,?,?,?,?,?
117,'2018/10/17 13:28:56:645',1,60,0,5,?,?,?,?,?,?,?,?,?,?
118,'2018/10/17 13:28:56:645',1,60,0,5,?,?,?,?,?,?,?,?,?,?
119,'2018/10/17 13:28:56:738',1,97,0,0,?,?,?,?,?,?,?,?,?,?
120,'2018/10/17 13:28:56:738',1,97,0,0,?,?,?,?,?,?,?,?,?,?
121,'2018/10/17 13:28:56:799',1,93,2,0,?,?,?,?,?,?,?,?,?,?
122,'2018/10/17 13:28:56:800',1,93,2,0,?,?,?,?,?,?,?,?,?,?
123,'2018/10/17 13:28:56:809',1,93,2,0,?,?,?,?,?,?,?,?,?,?
124,'2018/10/17 13:28:56:837',1,93,0,2,?,?,?,?,?,?,?,?,?,?
125,'2018/10/17 13:28:56:837',1,93,0,2,?,?,?,?,?,?,?,?,?,?
126,'2018/10/17 13:28:56:848',1,93,0,2,?,?,?,?,?,?,?,?,?,?
127,'2018/10/17 13:28:56:874',1,83,0,2,?,?,?,?,?,?,?,?,?,?
128,'2018/10/17 13:28:56:875',1,83,0,2,?,?,?,?,?,?,?,?,?,?
129,'2018/10/17 13:28:57:004',1,84,0,3,?,?,?,?,?,?,?,?,?,?
130,'2018/10/17 13:28:57:005',1,84,0,3,?,?,?,?,?,?,?,?,?,?
131,'2018/10/17 13:28:57:065',1,81,0,2,?,?,?,?,?,?,?,?,?,?
132,'2018/10/17 13:28:57:066',1,81,0,2,?,?,?,?,?,?,?,?,?,?
133,'2018/10/17 13:28:57:101',1,93,0,3,?,?,?,?,?,?,?,?,?,?
134,'2018/10/17 13:28:57:101',1,93,0,3,?,?,?,?,?,?,?,?,?,?
135,'2018/10/17 13:28:57:138',1,95,0,2,?,?,?,?,?,?,?,?,?,?
136,'2018/10/17 13:28:57:139',1,95,0,2,?,?,?,?,?,?,?,?,?,?
137,'2018/10/17 13:28:57:162',1,88,0,2,?,?,?,?,?,?,?,?,?,?
138,'2018/10/17 13:28:57:163',1,88,0,2,?,?,?,?,?,?,?,?,?,?
139,'2018/10/17 13:28:57:173',1,88,0,2,?,?,?,?,?,?,?,?,?,?
140,'2018/10/17 13:28:57:183',1,88,0,2,?,?,?,?,?,?,?,?,?,?
141,'2018/10/17 13:28:57:211',1,82,1,4,?,?,?,?,?,?,?,?,?,?
142,'2018/10/17 13:28:57:212',1,82,1,4,?,?,?,?,?,?,?,?,?,?
143,'2018/10/17 13:28:57:229',1,86,2,4,?,?,?,?,?,?,?,?,?,?
144,'2018/10/17 13:28:57:233',1,86,2,4,?,?,?,?,?,?,?,?,?,?
145,'2018/10/17 13:28:57:242',1,86,2,4,?,?,?,?,?,?,?,?,?,?
146,'2018/10/17 13:28:57:338',1,92,0,1,?,?,?,?,?,?,?,?,?,?
