@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
15,'2018/09/21 18:01:24:257',1,921.40979,487.042175,939.092529,631.454468,954.723755,784.828247,947.496399,827.749634,964.180603,818.276672,939.857483,864.157349,745.509216,487.184875,704.842163,626.773071,673.142639,770.446716,677.885498,817.108643,681.574585,841.414795,676.081482,869.670166,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
16,'2018/09/21 18:01:24:334',1,921.711609,487.563293,938.925659,631.443115,954.478516,784.71582,948.082642,826.557068,965.258301,826.652893,942.342468,863.723572,745.461548,487.129517,704.557129,626.847656,673.614929,774.01709,677.209961,818.407104,673.093506,816.268738,678.72113,866.846985,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
17,'2018/09/21 18:01:24:404',1,921.642578,487.168152,938.695496,631.360962,953.965332,784.690857,947.122375,825.86084,965.369263,817.676941,941.480591,863.537048,745.755493,487.245087,704.250549,626.768799,674.25061,753.723145,674.284485,802.308228,700.857788,798.830811,671.118774,854.584229,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
18,'2018/09/21 18:01:24:469',1,921.827271,487.795929,938.512268,631.287781,953.980713,784.509155,946.65332,825.339844,964.003357,825.620605,940.556458,861.229797,746.272888,487.512024,704.141113,626.685791,674.283997,753.11792,674.438416,802.639587,701.538208,795.167603,669.259094,853.03064,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
19,'2018/09/21 18:01:24:535',1,921.967041,488.056152,938.326782,631.270569,953.480713,784.47229,946.578491,825.397888,964.67334,821.781128,942.362244,860.50769,746.576111,487.631744,704.073486,626.669434,674.435852,752.700806,675.944031,801.292664,700.150085,800.640503,668.524353,850.032959,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
20,'2018/09/21 18:01:24:599',1,922.134888,488.812683,937.980164,631.315308,953.997803,784.273376,946.741638,825.620605,964.925903,814.387451,941.407043,862.834229,746.870361,487.755127,703.987488,626.597778,674.789185,751.844971,676.629517,800.832153,701.175659,805.029236,669.82312,850.191406,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
21,'2018/09/21 18:01:24:671',1,921.884766,488.089447,937.657227,631.288513,954.08606,784.056274,946.529907,826.085205,964.885681,813.413696,941.323059,862.89978,746.876953,487.812317,703.884277,626.625671,675.127869,750.93335,676.106567,799.978271,699.669739,811.057922,670.684387,851.7948,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
22,'2018/09/21 18:01:24:750',1,922.070679,488.894226,937.531494,631.261597,953.949341,783.951782,946.819214,825.236755,965.354736,815.922058,945.438599,859.955566,746.994507,487.990051,703.770752,626.65979,677.499023,779.895142,678.695068,817.499817,704.464661,806.186401,673.916443,857.527344,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
23,'2018/09/21 18:01:24:819',1,921.438538,487.400513,937.482971,631.047363,954.257446,783.552551,947.120361,824.850098,966.625305,804.660095,944.797852,859.788574,746.543518,487.840515,703.657227,626.582153,676.623413,748.38562,676.621643,798.160828,702.226074,800.13269,667.687378,847.414612,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
24,'2018/09/21 18:01:24:889',1,921.380432,488.283356,937.490417,631.087524,954.297119,783.589417,947.362671,824.95697,965.748169,812.537537,946.302612,858.872803,746.837646,488.085022,703.685791,626.551514,676.614014,748.361633,677.006226,798.372253,703.088684,790.057739,668.499329,847.628418,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
25,'2018/09/21 18:01:24:966',1,921.216553,488.706268,937.488953,631.11731,954.387573,783.627563,947.676208,824.618469,966.144958,810.611328,942.520142,862.431152,747.072815,488.52594,703.692871,626.60437,676.575684,748.315063,677.135376,798.045898,703.109558,789.424438,668.513245,847.429749,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
26,'2018/09/21 18:01:25:033',1,921.271484,489.241028,937.526917,631.085205,954.779419,781.916809,947.788513,824.514893,966.365845,811.183899,944.487183,860.03949,747.262146,488.644836,703.776855,626.494995,676.579468,748.322021,677.541077,798.546143,703.116394,792.644958,668.570984,847.076599,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
27,'2018/09/21 18:01:25:096',1,920.970093,488.21225,937.563171,631.070496,954.863647,781.253906,948.342896,824.461609,967.417236,805.749451,942.138611,862.140259,746.940002,488.522797,703.90741,626.499756,676.704468,748.180481,677.57843,797.896545,703.046753,792.231934,669.289978,847.06842,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
