@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
102,'2019/02/23 14:19:44:591',1,7,80,0,0,1
103,'2019/02/23 14:19:44:726',1,8,83,0,0,1
104,'2019/02/23 14:19:44:727',1,8,83,0,0,1
105,'2019/02/23 14:19:44:736',1,8,83,0,0,1
106,'2019/02/23 14:19:44:748',1,8,83,0,0,1
107,'2019/02/23 14:19:44:757',1,8,83,0,0,1
108,'2019/02/23 14:19:44:892',1,8,81,0,0,1
109,'2019/02/23 14:19:44:893',1,8,81,0,0,1
110,'2019/02/23 14:19:44:902',1,8,81,0,0,1
111,'2019/02/23 14:19:44:914',1,8,81,0,0,1
112,'2019/02/23 14:19:44:923',1,8,81,0,0,1
113,'2019/02/23 14:19:45:059',1,6,80,0,0,1
114,'2019/02/23 14:19:45:060',1,6,80,0,0,1
115,'2019/02/23 14:19:45:069',1,6,80,0,0,1
116,'2019/02/23 14:19:45:079',1,6,80,0,0,1
117,'2019/02/23 14:19:45:089',1,6,80,0,0,1
118,'2019/02/23 14:19:45:226',1,6,81,0,0,1
119,'2019/02/23 14:19:45:226',1,6,81,0,0,1
120,'2019/02/23 14:19:45:236',1,6,81,0,0,1
121,'2019/02/23 14:19:45:245',1,6,81,0,0,1
122,'2019/02/23 14:19:45:256',1,6,81,0,0,1
123,'2019/02/23 14:19:45:392',1,7,80,1,0,1
124,'2019/02/23 14:19:45:393',1,7,80,1,0,1
125,'2019/02/23 14:19:45:402',1,7,80,1,0,1
126,'2019/02/23 14:19:45:412',1,7,80,1,0,1
127,'2019/02/23 14:19:45:422',1,7,80,1,0,1
128,'2019/02/23 14:19:45:558',1,7,79,0,0,1
129,'2019/02/23 14:19:45:559',1,7,79,0,0,1
130,'2019/02/23 14:19:45:568',1,7,79,0,0,1
131,'2019/02/23 14:19:45:578',1,7,79,0,0,1
132,'2019/02/23 14:19:45:588',1,7,79,0,0,1
133,'2019/02/23 14:19:45:725',1,8,80,0,0,1
134,'2019/02/23 14:19:45:725',1,8,80,0,0,1
135,'2019/02/23 14:19:45:735',1,8,80,0,0,1
136,'2019/02/23 14:19:45:746',1,8,80,0,0,1
137,'2019/02/23 14:19:45:756',1,8,80,0,0,1
138,'2019/02/23 14:19:45:891',1,7,79,0,0,1
139,'2019/02/23 14:19:45:891',1,7,79,0,0,1
140,'2019/02/23 14:19:45:901',1,7,79,0,0,1
141,'2019/02/23 14:19:45:912',1,7,79,0,0,1
142,'2019/02/23 14:19:45:921',1,7,79,0,0,1
143,'2019/02/23 14:19:46:057',1,7,82,0,0,1
144,'2019/02/23 14:19:46:058',1,7,82,0,0,1
145,'2019/02/23 14:19:46:067',1,7,82,0,0,1
146,'2019/02/23 14:19:46:077',1,7,82,0,0,1
147,'2019/02/23 14:19:46:088',1,7,82,0,0,1
148,'2019/02/23 14:19:46:224',1,7,85,0,0,1
149,'2019/02/23 14:19:46:224',1,7,85,0,0,1
150,'2019/02/23 14:19:46:234',1,7,85,0,0,1
151,'2019/02/23 14:19:46:244',1,7,85,0,0,1
152,'2019/02/23 14:19:46:254',1,7,85,0,0,1
153,'2019/02/23 14:19:46:390',1,8,82,0,0,1
154,'2019/02/23 14:19:46:391',1,8,82,0,0,1
155,'2019/02/23 14:19:46:400',1,8,82,0,0,1
156,'2019/02/23 14:19:46:410',1,8,82,0,0,1
157,'2019/02/23 14:19:46:421',1,8,82,0,0,1
158,'2019/02/23 14:19:46:556',1,9,82,0,0,1
159,'2019/02/23 14:19:46:557',1,9,82,0,0,1
160,'2019/02/23 14:19:46:567',1,9,82,0,0,1
161,'2019/02/23 14:19:46:577',1,9,82,0,0,1
162,'2019/02/23 14:19:46:587',1,9,82,0,0,1
163,'2019/02/23 14:19:46:722',1,8,82,0,0,1
164,'2019/02/23 14:19:46:723',1,8,82,0,0,1
165,'2019/02/23 14:19:46:732',1,8,82,0,0,1
166,'2019/02/23 14:19:46:743',1,8,82,0,0,1
167,'2019/02/23 14:19:46:753',1,8,82,0,0,1
168,'2019/02/23 14:19:46:889',1,7,79,0,0,1
169,'2019/02/23 14:19:46:890',1,7,79,0,0,1
170,'2019/02/23 14:19:46:899',1,7,79,0,0,1
171,'2019/02/23 14:19:46:910',1,7,79,0,0,1
172,'2019/02/23 14:19:46:919',1,7,79,0,0,1
173,'2019/02/23 14:20:25:478',2,6,303,0,0,2
174,'2019/02/23 14:20:25:480',2,6,303,0,0,2
175,'2019/02/23 14:20:25:489',2,6,303,0,0,2
176,'2019/02/23 14:20:25:498',2,6,303,0,0,2
177,'2019/02/23 14:20:25:510',2,6,303,0,0,2
178,'2019/02/23 14:20:25:845',2,5,160,0,0,2
179,'2019/02/23 14:20:25:846',2,5,160,0,0,2
180,'2019/02/23 14:20:25:855',2,5,160,0,0,2
181,'2019/02/23 14:20:25:865',2,5,160,0,0,2
182,'2019/02/23 14:20:25:876',2,5,160,0,0,2
183,'2019/02/23 14:20:26:211',2,8,216,0,0,2
184,'2019/02/23 14:20:26:211',2,8,216,0,0,2
185,'2019/02/23 14:20:26:221',2,8,216,0,0,2
186,'2019/02/23 14:20:26:231',2,8,216,0,0,2
187,'2019/02/23 14:20:26:242',2,8,216,0,0,2
188,'2019/02/23 14:20:26:644',2,8,288,0,0,2
189,'2019/02/23 14:20:26:644',2,8,288,0,0,2
190,'2019/02/23 14:20:26:653',2,8,288,0,0,2
191,'2019/02/23 14:20:26:665',2,8,288,0,0,2
192,'2019/02/23 14:20:26:674',2,8,288,0,0,2
193,'2019/02/23 14:20:27:009',2,6,306,0,0,2
194,'2019/02/23 14:20:27:010',2,6,306,0,0,2
195,'2019/02/23 14:20:27:019',2,6,306,0,0,2
196,'2019/02/23 14:20:27:029',2,6,306,0,0,2
197,'2019/02/23 14:20:27:039',2,6,306,0,0,2
198,'2019/02/23 14:20:27:375',2,7,253,0,0,2
199,'2019/02/23 14:20:27:376',2,7,253,0,0,2
200,'2019/02/23 14:20:27:386',2,7,253,0,0,2
201,'2019/02/23 14:20:27:396',2,7,253,0,0,2
202,'2019/02/23 14:20:27:406',2,7,253,0,0,2
203,'2019/02/23 14:20:27:708',2,10,259,0,0,2
204,'2019/02/23 14:20:27:708',2,10,259,0,0,2
205,'2019/02/23 14:20:27:719',2,10,259,0,0,2
206,'2019/02/23 14:20:27:728',2,10,259,0,0,2
207,'2019/02/23 14:20:27:739',2,10,259,0,0,2
208,'2019/02/23 14:20:28:074',2,7,238,0,0,2
209,'2019/02/23 14:20:28:074',2,7,238,0,0,2
210,'2019/02/23 14:20:28:083',2,7,238,0,0,2
211,'2019/02/23 14:20:28:094',2,7,238,0,0,2
212,'2019/02/23 14:20:28:105',2,7,238,0,0,2
213,'2019/02/23 14:20:28:440',2,9,266,0,0,2
214,'2019/02/23 14:20:28:440',2,9,266,0,0,2
215,'2019/02/23 14:20:28:450',2,9,266,0,0,2
