@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
49,'2019/04/11 20:43:40:469',1,181.800003,719,0.6,373,945.799988,0,?,?,?,?,?,?,?,?,?
50,'2019/04/11 20:43:40:470',1,177.100006,724.799988,0.7,373.100006,946,0,?,?,?,?,?,?,?,?,?
51,'2019/04/11 20:43:40:470',1,172.399994,730.599976,0.7,373.200012,946.200012,0,?,?,?,?,?,?,?,?,?
52,'2019/04/11 20:43:40:470',1,170.5,741.099976,0.7,373.299988,946.400024,0,?,?,?,?,?,?,?,?,?
53,'2019/04/11 20:43:40:470',1,168.600006,751.599976,0.7,373.399994,946.5,0,?,?,?,?,?,?,?,?,?
54,'2019/04/11 20:43:40:471',1,166.699997,762.099976,0.6,373.5,946.599976,0,?,?,?,?,?,?,?,?,?
55,'2019/04/11 20:43:40:471',1,165.199997,766.799988,0.5,373.600006,946.700012,0,?,?,?,?,?,?,?,?,?
56,'2019/04/11 20:43:40:487',1,163.699997,771.099976,0.4,373.700012,946.799988,0,?,?,?,?,?,?,?,?,?
57,'2019/04/11 20:43:40:488',1,162.199997,775.400024,0.3,373.799988,946.900024,0,?,?,?,?,?,?,?,?,?
58,'2019/04/11 20:43:40:488',1,162.600006,779.700012,0.2,373.899994,947,0,?,?,?,?,?,?,?,?,?
59,'2019/04/11 20:43:40:488',1,162.600006,784,0.1,374,947,0,?,?,?,?,?,?,?,?,?
60,'2019/04/11 20:43:40:500',1,162.600006,788.299988,0,374,947.099976,0,?,?,?,?,?,?,?,?,?
61,'2019/04/11 20:43:40:501',1,162.600006,792.599976,0,373.700012,947.200012,0,?,?,?,?,?,?,?,?,?
62,'2019/04/11 20:43:40:501',1,162.600006,788,0,373.399994,947.299988,0,?,?,?,?,?,?,?,?,?
63,'2019/04/11 20:43:40:501',1,162.600006,783.400024,0,373.100006,947.400024,0,?,?,?,?,?,?,?,?,?
64,'2019/04/11 20:43:40:501',1,162.600006,778.799988,0,372.799988,947.5,0,?,?,?,?,?,?,?,?,?
65,'2019/04/11 20:43:40:501',1,160.800003,774.200012,0,372.5,947.599976,0,?,?,?,?,?,?,?,?,?
66,'2019/04/11 20:43:40:515',1,159,770,0,372.200012,947.799988,0,?,?,?,?,?,?,?,?,?
67,'2019/04/11 20:43:40:515',1,157.199997,765.799988,0,372,948,0,?,?,?,?,?,?,?,?,?
68,'2019/04/11 20:43:40:516',1,155.399994,753.5,0,371.799988,948.200012,0,?,?,?,?,?,?,?,?,?
69,'2019/04/11 20:43:40:516',1,154,741.200012,0,371.600006,948.400024,0,?,?,?,?,?,?,?,?,?
70,'2019/04/11 20:43:40:516',1,152.600006,728.900024,0,371.399994,948.5,0,?,?,?,?,?,?,?,?,?
71,'2019/04/11 20:43:40:516',1,149.300003,716.599976,0,371.5,948.599976,0,?,?,?,?,?,?,?,?,?
72,'2019/04/11 20:43:40:532',1,146,708.5,0,371.5,948.700012,0,?,?,?,?,?,?,?,?,?
73,'2019/04/11 20:43:40:532',1,142.699997,691.799988,0,371.5,948.799988,0,?,?,?,?,?,?,?,?,?
74,'2019/04/11 20:43:40:532',1,139.399994,675.099976,0,371.5,948.900024,0,?,?,?,?,?,?,?,?,?
75,'2019/04/11 20:43:40:532',1,137.5,658.400024,0,371.5,949,0,?,?,?,?,?,?,?,?,?
76,'2019/04/11 20:43:40:532',1,133.399994,641.700012,0,371.5,949,0,?,?,?,?,?,?,?,?,?
77,'2019/04/11 20:43:40:545',1,129.300003,625,0,371.399994,949.099976,0,?,?,?,?,?,?,?,?,?
78,'2019/04/11 20:43:40:546',1,125.199997,616.400024,0,371.200012,949.200012,0,?,?,?,?,?,?,?,?,?
79,'2019/04/11 20:43:40:546',1,121.099998,601.099976,0,371,949.299988,0,?,?,?,?,?,?,?,?,?
80,'2019/04/11 20:43:40:546',1,117,585.799988,0,370.799988,949.400024,0,?,?,?,?,?,?,?,?,?
81,'2019/04/11 20:43:40:546',1,114.800003,570.5,0,370.600006,949.5,0,?,?,?,?,?,?,?,?,?
82,'2019/04/11 20:43:40:546',1,112,555.200012,0,370.5,949.599976,0,?,?,?,?,?,?,?,?,?
83,'2019/04/11 20:43:40:562',1,109.199997,544.599976,0,370.399994,949.700012,0,?,?,?,?,?,?,?,?,?
84,'2019/04/11 20:43:40:562',1,106.400002,534,0,370.299988,949.799988,0,?,?,?,?,?,?,?,?,?
85,'2019/04/11 20:43:40:563',1,103.599998,523.400024,0,370.200012,949.900024,0,?,?,?,?,?,?,?,?,?
86,'2019/04/11 20:43:40:563',1,102.300003,512.799988,0,370.100006,950,0,?,?,?,?,?,?,?,?,?
87,'2019/04/11 20:43:40:575',1,101,502.200012,0,370.100006,950,0,?,?,?,?,?,?,?,?,?
88,'2019/04/11 20:43:40:575',1,99.699997,492,0,370.200012,950,0,?,?,?,?,?,?,?,?,?
89,'2019/04/11 20:43:40:575',1,98.400002,488.5,0,370.299988,950,0,?,?,?,?,?,?,?,?,?
90,'2019/04/11 20:43:40:575',1,97.099998,485,0,370.399994,950,0,?,?,?,?,?,?,?,?,?
91,'2019/04/11 20:43:40:576',1,94.5,481.5,0,370.5,950,0,?,?,?,?,?,?,?,?,?
92,'2019/04/11 20:43:40:590',1,92.5,478,0,370.600006,950.099976,0,?,?,?,?,?,?,?,?,?
93,'2019/04/11 20:43:40:590',1,90.5,479.5,0,370.700012,950.200012,0,?,?,?,?,?,?,?,?,?
