@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
15771,'2019/02/25 20:20:19:609',17,78.199997,287.399994,0,0,0,?,?,?,?,?,?,?,?
15772,'2019/02/25 20:20:19:609',17,77.199997,287.799988,0,0,0,?,?,?,?,?,?,?,?
15773,'2019/02/25 20:20:19:609',17,76.699997,288.200012,0,0,0,?,?,?,?,?,?,?,?
15774,'2019/02/25 20:20:19:624',17,76.199997,289.399994,0,0,0,?,?,?,?,?,?,?,?
15775,'2019/02/25 20:20:19:624',17,76.400002,290.600006,0,0,0,?,?,?,?,?,?,?,?
15776,'2019/02/25 20:20:19:624',17,76.599998,290.899994,0,0,0,?,?,?,?,?,?,?,?
15777,'2019/02/25 20:20:19:624',17,76.599998,291.200012,0,0,0,?,?,?,?,?,?,?,?
15778,'2019/02/25 20:20:19:639',17,76.599998,290.299988,0,0,0,?,?,?,?,?,?,?,?
15779,'2019/02/25 20:20:19:639',17,76.900002,289.399994,0,0,0,?,?,?,?,?,?,?,?
15780,'2019/02/25 20:20:19:639',17,77.199997,289,0,0,0,?,?,?,?,?,?,?,?
15781,'2019/02/25 20:20:19:639',17,77.099998,288.600006,0,0,0,?,?,?,?,?,?,?,?
15782,'2019/02/25 20:20:19:653',17,77,289.100006,0,0,0,?,?,?,?,?,?,?,?
15783,'2019/02/25 20:20:19:653',17,76.400002,289.600006,0,0,0,?,?,?,?,?,?,?,?
15784,'2019/02/25 20:20:19:653',17,75.800003,289.299988,0,0,0,?,?,?,?,?,?,?,?
15785,'2019/02/25 20:20:19:653',17,75.099998,289,0,0,0,?,?,?,?,?,?,?,?
15786,'2019/02/25 20:20:19:668',17,74.400002,288.100006,0,0,0,?,?,?,?,?,?,?,?
15787,'2019/02/25 20:20:19:668',17,73.900002,287.200012,0,0,0,?,?,?,?,?,?,?,?
15788,'2019/02/25 20:20:19:668',17,73.400002,287.5,0,0,0,?,?,?,?,?,?,?,?
15789,'2019/02/25 20:20:19:668',17,72.800003,287.799988,0,0,0,?,?,?,?,?,?,?,?
15790,'2019/02/25 20:20:19:686',17,72.199997,288.899994,0,0,0,?,?,?,?,?,?,?,?
15791,'2019/02/25 20:20:19:686',17,72,290,0,0,0,?,?,?,?,?,?,?,?
15792,'2019/02/25 20:20:19:686',17,71.900002,290.200012,0,0,0,?,?,?,?,?,?,?,?
15793,'2019/02/25 20:20:19:686',17,71.800003,289.200012,0,0,0,?,?,?,?,?,?,?,?
15794,'2019/02/25 20:20:19:686',17,71.5,288.200012,0,0,0,?,?,?,?,?,?,?,?
15795,'2019/02/25 20:20:19:714',17,71.300003,288,0,0,0,?,?,?,?,?,?,?,?
15796,'2019/02/25 20:20:19:714',17,71.099998,288.399994,0,0,0,?,?,?,?,?,?,?,?
15797,'2019/02/25 20:20:19:714',17,70.900002,288.799988,0,0,0,?,?,?,?,?,?,?,?
15798,'2019/02/25 20:20:19:714',17,71.199997,289.200012,0,0,0,?,?,?,?,?,?,?,?
15799,'2019/02/25 20:20:19:729',17,71.599998,289.200012,0,0,0,?,?,?,?,?,?,?,?
15800,'2019/02/25 20:20:19:729',17,72,288.399994,0,0,0,?,?,?,?,?,?,?,?
15801,'2019/02/25 20:20:19:729',17,72.699997,287.600006,0,0,0,?,?,?,?,?,?,?,?
15802,'2019/02/25 20:20:19:743',17,73.300003,287.5,0,0,0,?,?,?,?,?,?,?,?
15803,'2019/02/25 20:20:19:743',17,73.900002,288.600006,0,0,0,?,?,?,?,?,?,?,?
15804,'2019/02/25 20:20:19:743',17,74.699997,289.700012,0,0,0,?,?,?,?,?,?,?,?
15805,'2019/02/25 20:20:19:743',17,75.900002,290,0,0,0,?,?,?,?,?,?,?,?
15806,'2019/02/25 20:20:19:758',17,77.099998,289.5,0,0,0,?,?,?,?,?,?,?,?
15807,'2019/02/25 20:20:19:758',17,78.300003,289,0,0,0,?,?,?,?,?,?,?,?
